name,brand,barcode,category,subcategory,calories,protein,carbs,fat,saturated_fat,fiber,sugar,sodium,serving_size_g,serving_description,ingredients,allergens,is_per_unit,is_verified,portions
Rice Box Original,KFC,,Fast Food,Rice,495,21,60,18,3,3,4,1200,295,1 box,"Rice, Original Recipe fillet pieces, salsa, sour cream","Wheat, Milk",true,true,
Twister Wrap,KFC,,Fast Food,Wraps,520,23,47,26,5,3,6,1380,230,1 wrap,"Tortilla, chicken fillet, lettuce, tomato, cheese, pepper mayo","Wheat, Milk, Eggs",true,true,
Zinger Twister Wrap,KFC,,Fast Food,Wraps,535,24,48,27,5,3,6,1520,230,1 wrap,"Tortilla, Zinger fillet, lettuce, tomato, cheese, pepper mayo","Wheat, Milk, Eggs",true,true,
Whopper,Burger King,,Fast Food,Burgers,657,28,49,40,12,2,11,980,270,1 burger,"Sesame Seed Bun: WHEAT Flour, Water, Sugar, Vegetable Oil, SESAME Seeds, Yeast, Salt, Dough Conditioners (including Calcium Peroxide, Potassium Iodate), DATEM, Mono and Diglycerides of Fatty Acids.

Beef Patty: 100% British & Irish Beef, flame-grilled. Seasoned with Salt and Black Pepper Blend (Salt, Black Pepper, Canola Oil, Silicon Dioxide).

Mayonnaise: Rapeseed Oil, Water, Spirit Vinegar, Sugar, EGG Yolk, Modified Starch, Salt, MUSTARD Flour, Stabilisers.

Ketchup: Tomatoes, Spirit Vinegar, Sugar, Salt, Onion Powder, Spice Extract.

Lettuce: Fresh Iceberg Lettuce.

Tomatoes: Fresh Sliced Tomatoes.

Pickles: Cucumbers, Water, Distilled Vinegar, Salt, Natural Flavours, Calcium Chloride, Potassium Sorbate.

Onions: Fresh Sliced White Onions.","Wheat, Sesame, Eggs, Mustard",true,true,
Whopper with Cheese,Burger King,,Fast Food,Burgers,740,33,50,46,17,2,11,1270,303,1 burger,"Sesame Seed Bun: WHEAT Flour, Water, Sugar, Vegetable Oil, SESAME Seeds, Yeast, Salt, Dough Conditioners.

Beef Patty: 100% British & Irish Beef, flame-grilled. Seasoned with Salt and Black Pepper.

American Cheese: MILK, Water, Milk Fat, Milk Protein, Salt, Emulsifying Salts, Colours.

Mayonnaise: Rapeseed Oil, Water, Spirit Vinegar, Sugar, EGG Yolk, Modified Starch, Salt, MUSTARD Flour.

Ketchup: Tomatoes, Spirit Vinegar, Sugar, Salt, Spice Extract.

Lettuce, Tomatoes, Pickles, Onions: Fresh vegetables.","Wheat, Milk, Sesame, Eggs, Mustard",true,true,
Double Whopper,Burger King,,Fast Food,Burgers,853,46,49,54,19,2,11,1050,351,1 burger,"Sesame Seed Bun: WHEAT Flour, Water, Sugar, Vegetable Oil, SESAME Seeds, Yeast, Salt, Dough Conditioners.

Beef Patties: Two 100% British & Irish Beef patties, flame-grilled. Seasoned with Salt and Pepper.

Mayonnaise: Rapeseed Oil, Water, Spirit Vinegar, Sugar, EGG Yolk, Modified Starch, Salt, MUSTARD Flour.

Ketchup: Tomatoes, Spirit Vinegar, Sugar, Salt.

Lettuce, Tomatoes, Pickles, Onions: Fresh vegetables.","Wheat, Sesame, Eggs, Mustard",true,true,
Double Whopper with Cheese,Burger King,,Fast Food,Burgers,1012,55,51,65,27,2,12,1630,417,1 burger,"Two flame-grilled beef patties, sesame seed bun, two cheese slices, tomatoes, lettuce, mayo","Wheat, Milk, Sesame, Eggs",true,true,
Bacon Double Cheeseburger,Burger King,,Fast Food,Burgers,392,24,25,22,10,1,5,860,155,1 burger,"Two beef patties, bacon, cheese, bun, ketchup, mustard, pickles","Wheat, Milk, Sesame",true,true,
Cheeseburger,Burger King,,Fast Food,Burgers,280,13,27,13,6,1,6,560,113,1 burger,"Fresh Ground Beef: 100% British Beef, hand-formed into patties. Cooked to order.

American Cheese: Cows' MILK, Milk Fat, Salt, Emulsifiers, Colours (Annatto).

Sesame Seed Bun: WHEAT Flour, Water, Sugar, SESAME Seeds, Yeast, Vegetable Oil, Salt.

Toppings (customisable): Lettuce, Pickles, Tomatoes, Grilled Onions, Grilled Mushrooms, Raw Onions, Jalapeño Peppers, Green Peppers, Ketchup, Mustard, Mayonnaise, Relish, A.1. Steak Sauce, BBQ Sauce, Hot Sauce.","Wheat, Milk, Sesame, Eggs (mayo), Mustard",true,true,
Double Cheeseburger,Burger King,,Fast Food,Burgers,362,21,27,19,9,1,6,700,147,1 burger,"Regular Bun: WHEAT Flour (contains Calcium Carbonate, Iron, Niacin, Thiamin), Water, Sugar, Vegetable Oil (Rapeseed), Yeast, Salt, Emulsifier (E481), WHEAT Gluten, Preservative (Calcium Propionate).

Beef Patties: Two 100% Pure Beef patties. A little salt and pepper is added to season after cooking.

Cheddar Cheese Slices: Vegetarian Cheddar (51%) (MILK), Water, Vegetarian Cheese (9%) (MILK), Whey Powder (MILK), Butter (MILK), Emulsifying Salts, MILK Protein, Salt, Colours.

Ketchup: Tomatoes, Spirit Vinegar, Sugar, Salt, Spice Extracts.

Mustard: Water, Spirit Vinegar, MUSTARD Seed, Salt, Sugar.

Onions: 100% Dehydrated Onion, rehydrated.

Pickle Slices: Gherkins, Water, Spirit Vinegar, Salt, Firming Agent, Natural Flavouring, Preservative.","Wheat, Milk, Mustard",true,true,
Hamburger,Burger King,,Fast Food,Burgers,239,11,26,10,4,1,6,380,99,1 burger,"Regular Bun: WHEAT Flour (contains Calcium Carbonate, Iron, Niacin, Thiamin), Water, Sugar, Vegetable Oil (Rapeseed), Yeast, Salt, Emulsifier (E481), WHEAT Gluten, Preservative (Calcium Propionate).

Beef Patty: 100% Pure Beef. A little salt and pepper is added to season after cooking.

Ketchup: Tomatoes, Spirit Vinegar, Sugar, Salt, Spice Extracts.

Mustard: Water, Spirit Vinegar, MUSTARD Seed, Salt, Sugar.

Onions: 100% Dehydrated Onion, rehydrated.

Pickle Slices: Gherkins, Water, Spirit Vinegar, Salt, Firming Agent (Calcium Chloride), Natural Flavouring, Preservative (Potassium Sorbate).","Wheat, Mustard",true,true,
Big King,Burger King,,Fast Food,Burgers,503,28,30,30,12,1,7,870,192,1 burger,"Two beef patties, three-piece bun, lettuce, onions, pickles, cheese, Stacker sauce","Wheat, Milk, Sesame, Eggs",true,true,
Chicken Royale,Burger King,,Fast Food,Chicken,570,22,48,32,5,2,7,1040,195,1 sandwich,"Sesame Seed Bun: WHEAT Flour, Water, Sugar, Vegetable Oil, SESAME Seeds, Yeast, Salt, Emulsifiers.

Chicken Fillet: Chicken Breast Meat, Water, WHEAT Flour, Vegetable Oil, Modified Starch, Salt, Spices, Dextrose, Leavening Agents.

Mayonnaise: Rapeseed Oil, Water, Spirit Vinegar, Sugar, EGG Yolk, Modified Starch, Salt, MUSTARD Flour, Stabilisers.

Lettuce: Fresh Iceberg Lettuce.","Wheat, Sesame, Eggs, Mustard",true,true,
Crispy Chicken Sandwich,Burger King,,Fast Food,Chicken,490,20,44,26,4,2,6,920,175,1 sandwich,"Crispy chicken fillet, bun, lettuce, mayo","Wheat, Eggs",true,true,
Chicken Nuggets,Burger King,,Fast Food,Chicken,260,12,17,16,3,1,0,480,90,6 pieces,"Chicken Breast Meat (54%), Water, WHEAT Flour, Vegetable Oil, Modified Starch, Salt, Dextrose, Spices, Raising Agents, Yeast Extract, Natural Flavouring.

May contain: EGG, MILK, SOY.",Wheat,true,true,"[{""name"": ""4 pieces"", ""calories"": 173, ""serving_g"": 60}, {""name"": ""6 pieces"", ""calories"": 260, ""serving_g"": 90}, {""name"": ""9 pieces"", ""calories"": 390, ""serving_g"": 135}]"
Veggie Bean Burger,Burger King,,Fast Food,Vegetarian,454,13,53,21,5,6,8,920,195,1 burger,"Bean patty, sesame seed bun, lettuce, mayo, tomato, onion","Wheat, Milk, Sesame, Eggs",true,true,
Plant-Based Whopper,Burger King,,Fast Food,Vegetarian,630,23,53,36,9,4,11,1080,265,1 burger,"Plant-based patty, sesame seed bun, tomatoes, lettuce, mayo, ketchup, pickles, onions","Wheat, Soya, Sesame, Eggs",true,true,
Fries,Burger King,,Fast Food,Sides,340,4,43,17,3,4,0,470,127,Medium,"Potatoes, vegetable oil, salt",,true,true,"[{""name"": ""Small"", ""calories"": 240, ""serving_g"": 89}, {""name"": ""Medium"", ""calories"": 340, ""serving_g"": 127}, {""name"": ""Large"", ""calories"": 430, ""serving_g"": 160}]"
Onion Rings (Regular),Burger King,,Fast Food,Sides,310,4,37,16,3,2,5,540,91,Regular onion rings,"Onion rings, batter coating","Wheat, Milk",true,true,
Mozzarella Sticks (6 pieces),Burger King,,Fast Food,Sides,330,14,29,18,7,1,2,760,105,6 pieces,"Mozzarella cheese, breaded coating","Wheat, Milk",true,true,
Bacon King,Burger King,,Fast Food,Burgers,1150,61,49,79,32,2,10,2150,354,1 burger,"Sesame Seed Bun: WHEAT Flour, Water, Sugar, Vegetable Oil, SESAME Seeds, Yeast, Salt, Emulsifiers.

Beef Patties: 100% British & Irish Beef, flame-grilled. Seasoned with Salt and Pepper.

Thick-Cut Bacon: Pork Belly, Water, Salt, Sugar, Smoke Flavouring, Sodium Nitrite.

American Cheese: MILK, Whey Protein, Milk Fat, Milk Protein, Salt, Emulsifying Salts, Colours.

Mayonnaise: Rapeseed Oil, Water, Spirit Vinegar, Sugar, EGG Yolk, Modified Starch, Salt, MUSTARD Flour.

Ketchup: Tomatoes, Spirit Vinegar, Sugar, Salt, Spices.","Wheat, Milk, Sesame, Eggs, Mustard",true,true,
Steakhouse Angus,Burger King,,Fast Food,Burgers,740,38,52,42,17,2,10,1180,275,1 burger,"Angus beef patty, crispy onions, bacon, A1 sauce, American cheese, brioche bun","Wheat, Milk, Sesame, Eggs",true,true,
Hash Browns (6 pieces),Burger King,,Fast Food,Breakfast,240,2,23,15,2,2,0,580,75,6 pieces,"Shredded potato, coating",,true,true,
King Fusion Oreo,Burger King,,Fast Food,Desserts,295,6,45,10,6,1,35,170,180,1 King Fusion,"Soft serve ice cream, Oreo cookie pieces","Milk, Wheat, Soya",true,true,
Sundae Chocolate,Burger King,,Fast Food,Desserts,280,5,42,10,7,1,35,120,160,1 sundae,"Soft serve ice cream, chocolate sauce",Milk,true,true,
Italian BMT (6 inch),Subway,,Fast Food,Sandwiches,410,20,44,17,6,4,7,1280,225,6 inch sub,"Italian White Bread: WHEAT Flour, Water, Yeast, Sugar, Vegetable Oil, Salt, WHEAT Gluten, Dough Conditioners.

Genoa Salami: Pork, Beef, Salt, Dextrose, Spices, Wine, Sodium Erythorbate, Garlic, Lactic Acid Starter Culture, Sodium Nitrite.

Pepperoni: Pork, Beef, Salt, Spices, Dextrose, Lactic Acid Starter Culture, Oleoresin of Paprika, Sodium Nitrite, Natural Flavourings.

Black Forest Ham: Pork, Water, Salt, Sugar, Sodium Phosphates, Sodium Erythorbate, Sodium Nitrite.

Cheese: MILK, Salt, Microbial Enzymes, Annatto.

Fresh Vegetables: Lettuce, Tomatoes, Onions, Green Peppers, Cucumbers.","Wheat, Milk",true,true,
Italian BMT (Footlong),Subway,,Fast Food,Sandwiches,820,40,88,34,12,8,14,2560,450,Footlong sub,"Italian White Bread: WHEAT Flour, Water, Yeast, Sugar, Vegetable Oil, Salt, WHEAT Gluten, Dough Conditioners.

Genoa Salami: Pork, Beef, Salt, Dextrose, Spices, Wine, Sodium Erythorbate, Garlic, Lactic Acid Starter Culture, Sodium Nitrite.

Pepperoni: Pork, Beef, Salt, Spices, Dextrose, Lactic Acid Starter Culture, Oleoresin of Paprika, Sodium Nitrite.

Black Forest Ham: Pork, Water, Salt, Sugar, Sodium Phosphates, Sodium Erythorbate, Sodium Nitrite.

Cheese: MILK, Salt, Microbial Enzymes.

Fresh Vegetables: Lettuce, Tomatoes, Onions, Green Peppers, Cucumbers.","Wheat, Milk",true,true,
Chicken Teriyaki (6 inch),Subway,,Fast Food,Sandwiches,370,28,50,6,1.5,4,15,950,270,6 inch sub,"Italian White Bread: WHEAT Flour, Water, Yeast, Sugar, Vegetable Oil, Salt, WHEAT Gluten, Dough Conditioners.

Chicken Strips: Chicken Breast, Water, Isolated SOY Protein, Modified Food Starch, Salt, Sodium Phosphates.

Teriyaki Glaze: Water, Brown Sugar, SOY Sauce (Water, WHEAT, SOYBEANS, Salt), Corn Starch, Rice Wine Vinegar, Ginger, Garlic.

Fresh Vegetables: Lettuce, Tomatoes, Onions, Green Peppers.","Wheat, Soya",true,true,
Chicken Teriyaki (Footlong),Subway,,Fast Food,Sandwiches,740,56,100,12,3,8,30,1900,540,Footlong sub,"Italian bread, teriyaki glazed chicken strips, lettuce, tomato, onion, green pepper","Wheat, Soya",true,true,
Meatball Marinara (6 inch),Subway,,Fast Food,Sandwiches,480,22,53,20,8,5,13,1100,290,6 inch sub,"Italian White Bread: WHEAT Flour, Water, Yeast, Sugar, Vegetable Oil, Salt, WHEAT Gluten, Dough Conditioners.

Meatballs: Beef, Pork, Water, Breadcrumbs (WHEAT Flour, Sugar, Yeast, Salt), Soy Protein Concentrate, Parmesan Cheese (MILK), Salt, Spices, Garlic Powder, Onion Powder.

Marinara Sauce: Tomatoes, Tomato Paste, Water, Sugar, Spices, Garlic, Onion, Salt, Olive Oil, Natural Flavourings.

Cheese: MILK, Salt, Microbial Enzymes, Annatto.","Wheat, Milk, Eggs, Soya",true,true,
Meatball Marinara (Footlong),Subway,,Fast Food,Sandwiches,960,44,106,40,16,10,26,2200,580,Footlong sub,"Italian bread, meatballs, marinara sauce, cheese","Wheat, Milk, Eggs, Soya",true,true,
Tuna (6 inch),Subway,,Fast Food,Sandwiches,480,20,44,25,4,4,6,640,250,6 inch sub,"Italian White Bread: WHEAT Flour, Water, Yeast, Sugar, Vegetable Oil, Salt, WHEAT Gluten, Dough Conditioners.

Tuna Salad: Skipjack Tuna (FISH), Mayonnaise (Rapeseed Oil, Water, Spirit Vinegar, EGG Yolk, Sugar, Salt, MUSTARD Flour), Salt.

Fresh Vegetables: Lettuce, Tomatoes, Onions, Cucumbers.","Wheat, Fish, Eggs, Mustard",true,true,
Steak & Cheese (6 inch),Subway,,Fast Food,Sandwiches,380,26,45,11,5,4,8,1030,260,6 inch sub,"Italian White Bread: WHEAT Flour, Water, Yeast, Sugar, Vegetable Oil, Salt, WHEAT Gluten, Dough Conditioners.

Shaved Steak: Beef, Water, Salt, Sodium Phosphates, Modified Food Starch.

Cheese: MILK, Salt, Microbial Enzymes.

Peppers, Onions: Fresh vegetables.","Wheat, Milk",true,true,
Steak & Cheese (Footlong),Subway,,Fast Food,Sandwiches,760,52,90,22,10,8,16,2060,520,Footlong sub,"Italian bread, shaved steak, cheese, peppers, onions","Wheat, Milk",true,true,
Turkey Breast (6 inch),Subway,,Fast Food,Sandwiches,280,20,43,4,1,4,6,820,225,6 inch sub,"Italian bread, turkey breast, lettuce, tomato, onion",Wheat,true,true,
Ham (6 inch),Subway,,Fast Food,Sandwiches,290,18,44,5,1.5,4,7,1010,220,6 inch sub,"Italian bread, ham, lettuce, tomato, onion",Wheat,true,true,
Veggie Delite (6 inch),Subway,,Fast Food,Sandwiches,230,8,44,3,0.5,5,6,310,170,6 inch sub,"Italian bread, lettuce, tomato, cucumber, green pepper, onion",Wheat,true,true,
Veggie Patty (6 inch),Subway,,Fast Food,Sandwiches,390,16,54,13,5,6,8,810,255,6 inch sub,"Italian bread, veggie patty, cheese, lettuce, tomato","Wheat, Milk, Soya",true,true,
Chicken & Bacon Ranch Melt (6 inch),Subway,,Fast Food,Sandwiches,570,36,47,27,9,4,8,1430,300,6 inch sub,"Italian bread, chicken strips, bacon, cheese, ranch dressing","Wheat, Milk, Eggs",true,true,
Roast Beef (6 inch),Subway,,Fast Food,Sandwiches,320,25,43,6,2,4,7,700,230,6 inch sub,"Italian bread, roast beef, lettuce, tomato, onion",Wheat,true,true,
Spicy Italian (6 inch),Subway,,Fast Food,Sandwiches,500,21,44,27,10,4,6,1590,225,6 inch sub,"Italian bread, pepperoni, salami, cheese, jalapeños, lettuce","Wheat, Milk",true,true,
Subway Club (6 inch),Subway,,Fast Food,Sandwiches,310,24,44,5,1.5,4,7,1020,240,6 inch sub,"Italian bread, turkey, ham, roast beef, lettuce, tomato",Wheat,true,true,
Cookie (Chocolate Chip),Subway,,Fast Food,Desserts,220,2,30,10,5,1,18,160,45,1 cookie,"Wheat flour, chocolate chips, butter, sugar, eggs","Wheat, Milk, Eggs, Soya",true,true,
Cookie (Double Chocolate),Subway,,Fast Food,Desserts,210,3,30,10,5,1,17,170,45,1 cookie,"Wheat flour, cocoa, chocolate chips, butter, sugar, eggs","Wheat, Milk, Eggs, Soya",true,true,
Cookie (White Chip Macadamia),Subway,,Fast Food,Desserts,220,2,29,11,5,0,17,160,45,1 cookie,"Wheat flour, white chocolate chips, macadamia nuts, butter, sugar","Wheat, Milk, Eggs, Tree Nuts",true,true,
Hash Browns,Subway,,Fast Food,Breakfast,140,1,16,8,1,1,0,390,57,2 hash browns,"Potatoes, vegetable oil, salt",,true,true,
"Bacon, Egg & Cheese (6 inch)",Subway,,Fast Food,Breakfast,450,24,44,20,7,4,6,1140,200,6 inch sub,"Italian bread, bacon, egg, cheese","Wheat, Milk, Eggs",true,true,
"Sausage, Egg & Cheese (6 inch)",Subway,,Fast Food,Breakfast,510,22,45,27,9,4,6,1090,210,6 inch sub,"Italian bread, sausage patty, egg, cheese","Wheat, Milk, Eggs",true,true,
Sausage Roll,Greggs,,Fast Food,Pastries,327,8,24,22,10,1,2,610,101,1 sausage roll,"Filling (47%): Water, Pork Mince (36%), Rusk (contains WHEAT Flour, Salt), Seasoning (Salt, Citrus Fibre, Inactivated Yeast, Sugar, Stabiliser: Sodium Diphosphate; Pepper, BARLEY Malt Extract, Preservative: Sodium METABISULPHITE; Acidity Regulator: Tartaric Acid; Spice Extracts), Antioxidants: Ascorbyl Palmitate, Alpha Tocopherol; Herb Extracts (Sage, Marjoram), Pork Fat, Isolated SOYA Protein, WHEAT Protein.

Pastry: WHEAT Flour (Calcium Carbonate, Iron, Niacin, Thiamin), Vegetable Margarine (Palm Oil, Rapeseed Oil, Water, Salt), Water, Salt.

Glaze: Water, Rapeseed Oil, Sunflower Oil, Modified Maize Starch, Potato Starch, Tapioca Starch, MILK Proteins, MILK Powder, Emulsifiers (E471, E472e), Stabilisers, Colours (Carotenoids).","Wheat, Milk, Barley, Soya, Sulphites",true,true,
Vegan Sausage Roll,Greggs,,Fast Food,Pastries,312,12,24,19,8,3,1,520,101,1 sausage roll,"Filling: Water, Mycoprotein (21%), Vegetable Oils (Palm, Rapeseed), WHEAT Flour, Onion, Rehydrated Textured WHEAT Protein, Natural Flavourings, Pea Fibre, Stabiliser: Methyl Cellulose, Salt, Pea Protein, Yeast Extract, Iron, Vitamin B12.

Pastry: WHEAT Flour (Calcium Carbonate, Iron, Niacin, Thiamin), Vegetable Margarine (Palm Oil, Rapeseed Oil, Water, Salt), Water, Salt.

Glaze: Water, Modified Maize Starch, Stabilisers.",Wheat,true,true,
Steak Bake,Greggs,,Fast Food,Pastries,408,14,33,25,12,2,2,780,134,1 bake,"Filling: Beef (25%), Water, Onion, WHEAT Flour, Gravy (WHEAT Flour, Salt, Yeast Extract, Onion Powder, Colour: Caramel), Modified Maize Starch, Salt, Sugar, Beef Fat, Yeast Extract, Caramelised Sugar, Black Pepper.

Pastry: WHEAT Flour (Calcium Carbonate, Iron, Niacin, Thiamin), Vegetable Margarine (Palm Oil, Rapeseed Oil, Water, Salt), Water, Salt.

Glaze: Water, Rapeseed Oil, Sunflower Oil, Modified Starch, MILK Proteins, Emulsifiers.","Wheat, Milk",true,true,
Vegan Steak Bake,Greggs,,Fast Food,Pastries,380,13,34,21,10,3,2,680,134,1 bake,"Puff pastry, Quorn pieces, onion, vegan gravy",Wheat,true,true,
Chicken Bake,Greggs,,Fast Food,Pastries,454,16,34,28,13,2,3,720,138,1 bake,"Filling: Cooked Chicken Breast (30%), Bechamel Sauce (Water, WHEAT Flour, MILK, Butter (MILK), Salt, White Pepper), Onion, Bacon (Pork Belly, Salt, Preservatives), WHEAT Flour, Modified Maize Starch, Salt, Sugar.

Pastry: WHEAT Flour, Vegetable Margarine, Water, Salt.

Glaze: Water, Rapeseed Oil, MILK Proteins.","Wheat, Milk",true,true,
"Sausage, Bean & Cheese Melt",Greggs,,Fast Food,Pastries,424,15,33,26,12,3,5,890,142,1 melt,"Filling: Baked Beans (Haricot Beans, Water, Tomato Puree, Sugar, Salt, Modified Cornflour, Paprika, Spice Extract), Pork Sausage Meat, Cheddar Cheese (MILK).

Pastry: WHEAT Flour (Calcium Carbonate, Iron, Niacin, Thiamin), Vegetable Margarine (Palm Oil, Rapeseed Oil, Water, Salt), Water, Salt.

Glaze: Water, Rapeseed Oil, MILK Proteins.","Wheat, Milk",true,true,
Cheese & Onion Bake,Greggs,,Fast Food,Pastries,320,9,28,19,10,2,3,620,103,1 bake,"Filling: Potato, Cheddar Cheese (MILK), Onion, Water, Modified Maize Starch, Salt, White Pepper.

Pastry: WHEAT Flour, Vegetable Margarine (Palm Oil, Rapeseed Oil, Water), Water, Salt.

Glaze: Water, Rapeseed Oil, MILK Proteins.","Wheat, Milk",true,true,
Corned Beef Bake,Greggs,,Fast Food,Pastries,395,13,32,24,11,2,2,820,128,1 bake,"Puff pastry, corned beef, potato, onion","Wheat, Milk",true,true,
Mexican Chicken Baguette,Greggs,,Fast Food,Sandwiches,470,26,52,17,4,3,6,1180,230,1 baguette,"Baguette, chicken, Mexican-style sauce, peppers, cheese","Wheat, Milk",true,true,
Ham & Cheese Baguette,Greggs,,Fast Food,Sandwiches,415,22,45,16,6,2,4,1350,195,1 baguette,"Baguette, ham, cheese, mayonnaise","Wheat, Milk, Eggs",true,true,
Tuna Crunch Baguette,Greggs,,Fast Food,Sandwiches,480,20,46,23,4,3,4,920,210,1 baguette,"Baguette, tuna mayonnaise, cucumber, sweetcorn","Wheat, Fish, Eggs",true,true,
Breakfast Roll (Bacon),Greggs,,Fast Food,Breakfast,290,14,32,12,4,2,3,920,115,1 roll,"Soft roll, bacon rashers",Wheat,true,true,
Breakfast Roll (Sausage),Greggs,,Fast Food,Breakfast,350,13,33,18,6,2,3,780,125,1 roll,"Soft roll, pork sausage",Wheat,true,true,
Breakfast Roll (Bacon & Sausage),Greggs,,Fast Food,Breakfast,450,19,35,26,9,2,3,1150,165,1 roll,"Soft roll, bacon, pork sausage",Wheat,true,true,
Bacon & Cheese Wrap,Greggs,,Fast Food,Wraps,395,18,30,22,9,2,2,1180,160,1 wrap,"Tortilla wrap, bacon, cheese, brown sauce","Wheat, Milk",true,true,
Sausage Breakfast Wrap,Greggs,,Fast Food,Wraps,430,16,32,27,10,2,2,1050,175,1 wrap,"Tortilla wrap, sausage, hash brown, cheese, brown sauce","Wheat, Milk",true,true,
Yum Yum,Greggs,,Fast Food,Sweet,225,2,26,13,6,0,11,100,51,1 yum yum,"Dough: WHEAT Flour (Calcium Carbonate, Iron, Niacin, Thiamin), Water, Vegetable Margarine (Palm Oil, Rapeseed Oil), Yeast, Sugar, Salt, Emulsifiers.

Fondant Icing: Sugar, Glucose Syrup, Water.

Cooked in Vegetable Oil.",Wheat,true,true,
Belgian Bun,Greggs,,Fast Food,Sweet,328,5,51,12,3,1,26,240,103,1 bun,"Sweet dough, lemon curd, fondant icing, cherry","Wheat, Milk, Eggs",true,true,
Doughnut (Ring),Greggs,,Fast Food,Sweet,251,3,30,13,6,1,12,150,63,1 doughnut,"Dough, sugar glaze","Wheat, Milk, Eggs",true,true,
Jam Doughnut,Greggs,,Fast Food,Sweet,260,4,38,10,4,1,16,170,78,1 doughnut,"Dough: WHEAT Flour (Calcium Carbonate, Iron, Niacin, Thiamin), Water, Vegetable Oil (Palm), Yeast, Sugar, Salt, Emulsifiers, Dried EGG.

Raspberry Jam: Glucose-Fructose Syrup, Raspberries, Sugar, Gelling Agent (Pectin), Acidity Regulator (Citric Acid), Colours (Anthocyanins).

Coating: Caster Sugar.

Cooked in Vegetable Oil (Palm).","Wheat, Eggs",true,true,
Pink Jammie,Greggs,,Fast Food,Sweet,180,2,25,8,4,0,12,95,47,1 biscuit,"Biscuit, jam, pink fondant icing","Wheat, Milk",true,true,
Caramel Latte (Regular),Greggs,,Fast Food,Drinks,188,6,27,6,4,0,24,95,340,Regular cup,"Espresso: 100% Arabica Coffee Beans (Mocha Italia blend).

Semi-Skimmed MILK: Pasteurised Cows' MILK.

Caramel Syrup: Sugar, Water, Natural Flavouring, Citric Acid, Preservative (Potassium Sorbate).",Milk,true,true,
Festive Bake,Greggs,,Fast Food,Pastries,453,14,34,29,13,2,4,720,138,1 bake,"Puff pastry, chicken breast, sage & onion stuffing, bacon, cranberry sauce","Wheat, Milk",true,true,
Pizza Slice (Pepperoni),Greggs,,Fast Food,Pizza,275,11,28,13,6,2,3,680,110,1 slice,"Pizza base, tomato sauce, cheese, pepperoni","Wheat, Milk",true,true,
Southern Fried Chicken Bites,Greggs,,Fast Food,Chicken,280,18,18,15,2,1,1,620,90,Hot box,"Chicken breast pieces, southern fried coating",Wheat,true,true,
1/4 Chicken,Nando's,,Fast Food,Chicken,295,36,0,17,5,0,0,630,170,1/4 chicken (leg or breast),"Chicken (Quarter portion - leg or breast on the bone).

PERi-PERi Marinade: African Bird's Eye Chillies, Water, Garlic, Salt, Paprika, Onion, Citric Acid, Sunflower Oil, Lemon Juice, Oregano, Bay Leaves, Basil, Stabiliser (Xanthan Gum).

Contains SULPHITES (less than 10ppm from PERi-PERi sauce).

May Contain: SOY, WHEAT, MUSTARD, EGG.",Sulphites,true,true,
1/2 Chicken,Nando's,,Fast Food,Chicken,590,72,0,34,10,0,0,1260,340,1/2 chicken,"Chicken (Half portion including leg and breast on the bone).

PERi-PERi Marinade: African Bird's Eye Chillies, Water, Garlic, Salt, Paprika, Onion, Citric Acid, Sunflower Oil, Lemon Juice, Oregano, Bay Leaves, Basil, Stabiliser (Xanthan Gum).

Contains SULPHITES (less than 10ppm from PERi-PERi sauce).

May Contain: SOY, WHEAT, MUSTARD, EGG.",Sulphites,true,true,
Whole Chicken,Nando's,,Fast Food,Chicken,1180,144,0,68,20,0,0,2520,680,Whole chicken,"Whole Chicken.

PERi-PERi Marinade: African Bird's Eye Chillies, Water, Garlic, Salt, Paprika, Onion, Citric Acid, Sunflower Oil, Lemon Juice, Oregano, Bay Leaves, Basil, Stabiliser (Xanthan Gum).

Contains SULPHITES (less than 10ppm from PERi-PERi sauce).

May Contain: SOY, WHEAT, MUSTARD, EGG.",Sulphites,true,true,
Chicken Butterfly,Nando's,,Fast Food,Chicken,363,52,0,17,5,0,0,680,210,2 chicken breast fillets,"Chicken Breast Fillets (2 boneless breast fillets, butterflied).

PERi-PERi Marinade: African Bird's Eye Chillies, Water, Garlic, Salt, Paprika, Onion, Citric Acid, Sunflower Oil, Lemon Juice, Oregano, Bay Leaves, Basil, Stabiliser (Xanthan Gum).

Contains SULPHITES (less than 10ppm from PERi-PERi sauce).

May Contain: SOY, WHEAT, MUSTARD, EGG.",Sulphites,true,true,
Chicken Thighs (3),Nando's,,Fast Food,Chicken,440,42,0,30,9,0,0,750,200,3 boneless thighs,"Boneless Chicken Thighs.

PERi-PERi Marinade: African Bird's Eye Chillies, Water, Garlic, Salt, Paprika, Onion, Citric Acid, Sunflower Oil, Lemon Juice, Oregano, Bay Leaves, Basil, Stabiliser (Xanthan Gum).

Contains SULPHITES (less than 10ppm from PERi-PERi sauce).

May Contain: SOY, WHEAT, MUSTARD, EGG.",Sulphites,true,true,
